100000 9876
37156 41847 4617
37156 10898 672
41847 82856 9055
37156 52929 6968
82856 67537 169
10898 90514 447
10898 52649 413
10898 3145 4837
37156 40115 5775
40115 47741 5592
67537 484 4951
67537 63006 2280
41847 61102 4021
52649 88872 5643
3145 80407 4642
61102 80912 2934
52929 78655 6052
61102 80901 4562
67537 91352 8182
37156 13803 1322
52649 42870 4347
40115 87750 1455
80912 24854 9307
47741 50495 8822
67537 59311 8163
63006 89544 7363
41847 40327 2874
90514 44810 7335
80901 52651 6106
80912 12685 5595
50495 22066 5310
37156 48001 9060
42870 48655 8486
44810 92139 2819
484 16108 1501
52649 75172 1368
82856 78935 2259
52651 87808 6957
88872 7273 1816
47741 73357 2998
52651 15144 2895
41847 90354 9442
87808 83718 6354
52929 25252 5367
90514 35385 6105
25252 98728 5910
89544 76267 5841
59311 19521 9127
15144 45785 4942
25252 72926 3696
44810 44977 6084
87750 10960 4993
484 62657 588
62657 37911 6259
35385 50553 432
22066 44771 5085
3145 62431 5968
25252 95186 1798
13803 7036 4007
24854 28757 1132
42870 60759 4477
76267 2375 4229
19521 53686 4715
83718 3930 7347
72926 64092 5300
80407 58809 2450
53686 49342 2457
87750 336 2430
88872 83771 2096
40115 25658 8151
50553 45883 4296
40327 26847 2204
52651 1267 466
50553 52578 8935
19521 98905 7517
72926 85401 7286
48655 5404 9812
58809 51032 8662
44771 76974 1222
52649 34617 533
13803 99782 3401
37156 29338 6960
2375 44631 9481
52929 52482 5253
34617 17155 781
37156 20162 4102
50495 32450 9342
50495 70439 8042
49342 12 3010
59311 76542 6982
28757 64383 9746
22066 14336 5223
44977 37840 8486
7036 8212 6786
82856 26217 6243
20162 15824 5283
88872 4461 9357
95186 965 5500
24854 1142 7983
82856 78471 412
76974 63798 6859
19521 71622 190
16108 19048 9873
98728 82438 2359
91352 72257 1559
12 9381 6113
91352 93325 2663
965 17907 7213
62431 16832 1571
52651 78628 3558
78471 58745 4020
50495 19136 3808
15144 69195 1083
22066 1191 8564
52651 62821 9115
25658 19418 7828
19136 85747 6191
85401 2364 2173
52578 45556 2600
90354 57011 1650
44771 71795 2926
16832 27065 1813
52649 51290 5448
19521 7067 6736
45556 27697 5727
37840 19163 7535
50553 69109 5486
60759 21665 9474
87808 79914 9705
3145 12212 1984
87808 71317 3364
72926 31735 1144
41847 884 532
26217 69725 8321
4461 20002 550
40115 16557 9992
57011 72186 4083
45556 92607 9064
40327 71234 7181
12212 77745 9252
95186 84372 8796
26217 47260 5356
1142 11055 832
14336 28318 7200
28757 16296 9218
37840 66612 5707
71234 2967 5346
25658 45122 1190
85401 31035 6518
47741 35752 5359
98728 80695 5832
60759 91671 6895
10898 94152 3506
48655 80387 5797
40327 12504 4460
58745 27621 6296
34617 24327 8186
87808 63752 7536
1267 93326 2832
69109 50595 2256
11055 67129 271
31735 11051 3685
26847 85807 1165
71795 58290 1493
19521 35391 736
35752 74368 7453
98905 59874 4905
47741 48593 2834
72926 99121 6656
45556 22398 8151
484 15957 29
71795 16464 4371
16464 89420 2448
79914 28628 6286
34617 42793 9345
35385 86549 6383
94152 47515 2856
25252 66404 1583
27621 45681 7645
20162 36801 4405
84372 585 2629
16296 36407 1299
25252 22676 2556
62821 73356 8646
19163 61682 9113
67129 59816 327
80695 31829 7593
58290 99901 6411
50553 14171 5658
58809 92137 4375
12504 80441 7590
67537 6079 969
14171 53707 3528
37156 13237 7168
19163 46334 8329
45681 4355 5904
37156 42642 9781
4461 30800 1194
63006 24442 4038
80441 7992 7900
49342 16978 9339
59874 83841 1347
64092 61672 5626
61102 66 6028
31735 1341 6806
2967 86036 2637
14336 95013 3863
83771 43076 1191
20162 57973 8860
47515 37079 4914
12504 61463 6281
28318 26357 4498
49342 83460 723
37156 1082 1102
91352 67411 1882
28318 20839 613
57011 83000 3578
95013 60057 856
49342 65428 6069
36407 78409 6837
336 67219 7284
93325 19252 3620
5404 42039 5783
12 44052 4889
80912 48536 5871
82856 72470 1830
85401 21869 6971
83841 44434 916
59874 51925 8370
16557 40847 5156
19521 44996 1017
32450 33920 7823
34617 8717 4079
93325 9100 6500
74368 22895 5560
6079 79806 9372
80901 50399 5514
25252 67904 6694
11051 64192 504
84372 32090 2289
48001 16436 7735
12685 18591 4877
87808 16813 3149
16813 40221 1453
62431 79028 4161
72186 10527 8121
99121 83751 8728
87808 77467 2475
16464 9574 973
98905 40755 9305
80407 63448 1366
15957 91629 2079
61672 88171 4371
22676 28901 878
3145 33795 6705
28628 77809 7600
11051 15355 9989
71795 46555 8200
585 1039 971
14336 56188 7359
45122 75020 2612
79806 97572 3012
16296 45666 7773
62657 27354 6849
22066 24472 3515
2364 70447 7981
45122 6654 1180
95186 3500 8111
33795 33046 5183
51032 75002 6776
