100000 67243
59101 46282 41
59101 33572 99
33572 43146 29
46282 15418 46
15418 16696 58
33572 45678 44
45678 5598 52
46282 59309 74
45678 94433 27
43146 66689 93
15418 45465 83
16696 6889 79
6889 39242 82
59101 15517 83
43146 50670 92
15418 22031 53
45678 40136 87
66689 79741 58
40136 12089 84
15517 42605 51
12089 88165 48
79741 86274 73
94433 62244 76
88165 24955 43
46282 58334 39
42605 79894 17
6889 9167 76
79894 2280 3
62244 4846 48
22031 93460 65
4846 48050 25
59101 2100 75
62244 81633 67
5598 76239 30
46282 5303 90
15418 32198 42
15418 53595 27
16696 57272 35
42605 81328 12
4846 44889 4
62244 15547 16
81633 80519 23
62244 46574 70
15418 42428 53
22031 10256 13
6889 77841 8
2100 29548 86
46282 29150 4
15517 59015 17
81633 8691 6
5303 87480 66
76239 85413 95
6889 39983 13
32198 43449 93
43146 59088 10
45465 14864 25
53595 41093 19
79894 88397 21
39983 82252 27
42428 81884 5
39242 70300 93
15547 78194 80
88165 63163 97
79894 48033 82
4846 26140 20
8691 96051 23
82252 25128 85
59309 99918 28
9167 79097 97
81884 73645 72
93460 34637 20
32198 90926 36
58334 7193 99
70300 57056 79
59101 58690 32
8691 81525 16
80519 25683 99
79894 13020 54
70300 52589 30
45678 64377 64
73645 43243 25
15547 70464 86
29548 64942 54
6889 91199 10
88165 14057 85
2280 19059 60
2280 42549 81
78194 64973 95
79741 59026 2
33572 68588 5
85413 82308 7
9167 21943 9
79741 925 67
81328 2799 4
40136 13031 100
86274 64728 48
14864 75579 4
24955 7592 84
57272 71778 98
21943 22689 10
96051 65459 26
9167 34305 38
46282 98923 20
82308 38989 37
45465 6139 4
64728 10147 58
15418 68291 65
14057 49459 67
4846 44314 79
79097 43750 30
7592 10460 36
38989 2874 53
39983 44151 14
15418 9225 99
59088 72308 81
48033 77780 44
38989 28946 82
7193 76397 64
39242 3708 65
71778 7619 26
77780 99228 93
98923 52643 31
15547 9864 49
85413 6712 39
38989 86625 71
39242 86156 57
21943 65517 48
40136 31579 49
88397 82791 98
10147 5684 23
25683 89207 7
86156 34584 84
19059 26759 100
34305 48535 93
7193 86439 98
41093 11444 84
72308 50178 1
16696 77700 98
70464 97075 15
65517 22078 81
11444 54679 59
19059 16543 94
38989 1530 50
79097 91546 71
7592 35340 41
99228 89019 77
73645 86999 12
98923 83407 91
75579 80809 10
76239 94565 26
46282 99628 4
41093 43719 49
99918 51283 27
99228 92760 58
85413 32433 86
43243 22733 29
2100 71240 30
32198 31690 54
68588 9892 16
91199 68321 78
82308 6600 70
28946 47854 59
82791 35126 17
42605 82380 95
42549 89301 35
53595 96212 37
39242 29834 33
90926 78592 46
89301 42351 34
43449 95879 52
99628 5019 44
22031 79112 67
22078 20429 55
86439 98797 5
64728 3100 48
79097 76390 82
94565 72787 40
46574 82700 1
26759 59022 40
96212 62708 38
2100 57741 19
50178 88051 15
16696 49939 62
6889 14534 14
14534 8401 67
72308 48716 18
40136 79223 98
87480 2406 88
45678 46896 7
63163 59980 77
52643 74917 77
6139 38248 23
79097 56016 49
52589 84950 28
24955 8147 22
14864 28562 17
85413 29356 90
44314 19371 95
63163 74323 44
68291 74810 97
90926 26090 25
89207 40207 72
9864 83723 49
48535 65462 77
65517 99153 54
26759 73207 62
81884 86886 63
86999 63559 50
40207 9999 11
10147 43816 3
62244 91115 93
12089 75788 76
84950 47391 3
9999 99795 84
58334 36948 82
6712 47758 7
43243 49301 46
13020 40155 32
36948 55688 41
82252 4740 54
66689 57225 65
47854 67610 77
9892 23888 2
28946 73184 43
97075 54258 55
22733 86867 49
46896 93409 16
48050 32555 81
49939 35669 50
44151 70700 15
26759 64794 44
59015 10501 40
42428 2693 4
19059 11517 36
82700 68922 83
76390 9133 90
86886 63763 7
81633 37285 78
94565 68148 44
68148 21873 24
34584 67903 17
46574 45078 96
48050 83473 52
3708 11204 2
49301 26958 92
10460 96293 83
4740 7404 89
20429 15693 28
7193 38489 45
48033 56391 36
26958 6863 55
2874 55517 25
25128 44441 43
24955 60117 73
68291 94944 74
81328 4325 87
83473 24436 24
83473 45828 74
20429 85628 10
48535 61807 79
42428 29136 42
11444 4222 39
83473 78630 86
13020 55733 22
59026 94317 33
10147 26070 60
86439 80674 86
14534 73662 100
76390 85373 91
26759 34102 17
45465 17053 72
45078 19080 54
66689 78013 36
11204 11695 73
88165 49618 53
43449 45097 49
2693 10760 63
44441 77165 76
44889 3350 6
29356 62597 30
49939 34392 58
74810 10647 77
74323 63417 25
21943 96458 22
43449 42940 52
29136 6424 31
83407 91696 92
46574 31576 21
42351 56144 14
16543 26852 76
75579 47739 43
49459 23818 11
75579 52006 64
38248 56307 5
81884 99342 36
35669 33041 62
15418 93037 22
45078 23275 36
56144 4093 19
49459 42130 13
74917 7683 99
26070 63568 49
64942 49687 78
32198 42927 69
13031 47333 14
94565 64758 8
19371 91268 21
40155 11588 65
52006 72040 57
64973 20498 8
99795 63498 2
61807 48950 36
48950 45807 59
22078 41907 73
31690 53671 32
85373 46322 51
20429 37569 80
86156 72681 71
48033 80751 19
45465 72952 100
64728 8433 88
24436 85896 92
91546 16686 30
7404 67547 47
4222 67334 76
29136 50523 29
25128 8459 74
1530 45122 3
45828 40170 39
99342 1728 13
925 79503 13
73207 97489 51
77841 54957 65
42605 73567 1
26958 2387 16
74810 13812 71
38489 99261 64
50670 53161 62
87480 1591 21
97075 36086 30
24955 33476 65
68922 67563 24
68321 31077 25
64758 55695 75
53595 12765 2
22733 42584 84
31077 66263 6
42351 78931 57
34637 45744 59
9892 86734 9
76397 13666 14
82252 40012 29
13031 58451 45
50670 21770 21
26140 44322 2
45807 77695 13
9999 28559 11
63559 54715 56
49459 39351 15
33476 32024 50
68321 52029 21
95879 3058 33
86867 8738 19
22031 5781 99
46282 42358 50
54679 2238 2
57225 18720 39
14057 21137 91
1530 65544 72
43816 65578 100
67903 2524 12
13812 23567 38
46896 23192 1
44322 40388 9
56144 77222 27
16696 12105 82
66689 70751 42
6863 46457 76
80519 82655 54
86156 9865 88
48050 31716 86
4846 60753 70
6600 52130 19
72952 85932 10
46322 44963 23
55688 1380 14
45465 20643 74
68922 43659 60
94565 55797 49
68148 87022 88
25128 46176 77
40012 96435 26
15547 32351 86
20498 4142 30
94317 41291 27
67334 60763 46
8459 75457 7
49301 15700 39
63763 95654 80
15693 67727 19
12105 97821 10
35340 96223 40
47739 11366 87
1591 66162 56
73184 408 71
48033 21437 62
21137 89723 67
11695 43639 18
2693 10942 39
73207 25728 42
78630 26890 16
49618 58971 81
32351 16201 59
55797 62583 51
75579 69657 68
44889 56870 43
39351 20062 52
5781 47877 11
23192 34571 34
37569 92563 25
63417 74084 12
91696 49242 55
85628 16585 76
31077 11208 81
47739 23347 71
81328 2377 84
76397 21032 65
82655 6283 60
45807 94058 83
3708 26820 12
12765 8297 30
45828 22612 30
47333 27343 89
1591 72105 71
64973 75036 57
91268 11947 29
43639 51724 85
1530 18795 49
55733 34010 55
43639 85072 27
34102 93681 55
26090 34284 15
73662 39417 25
45807 2898 42
2799 56565 87
7619 40432 13
62597 78193 7
68588 8023 48
49618 84602 86
99918 46837 68
23275 33995 66
55695 63177 14
85896 9543 32
99918 91563 10
60753 88706 95
59088 21498 67
1591 96715 49
19059 64966 68
99153 69366 58
31579 7782 37
22733 25788 61
82380 25348 63
9225 2409 43
93037 93993 66
16686 98879 80
29356 49988 75
88706 55423 34
12089 63875 47
68148 69450 54
29548 47050 2
88397 62115 96
66263 62798 97
22031 96686 100
29356 95342 21
81633 9323 24
6889 36407 4
46574 50699 58
40136 82006 56
88051 89679 28
97489 24630 32
72952 28321 58
2387 49860 4
96715 97680 94
24436 43742 7
23275 30188 57
86734 70969 47
2524 30784 28
74917 57595 100
2898 79250 59
74917 2481 88
53595 42716 81
89207 41390 19
80751 67326 61
13031 73552 41
99261 80305 46
42130 83486 47
91696 80398 78
39242 60920 46
78013 85257 51
85413 62060 22
99342 85053 13
26958 19513 15
83473 98635 63
15547 45196 23
5019 80999 37
63177 85152 4
31576 75954 6
40136 86875 6
50523 47957 47
96051 73671 54
34584 87240 71
82655 92452 99
26070 82466 53
7619 40705 71
47854 91881 49
2387 39936 13
24436 58520 63
38989 76993 56
8691 18333 92
77165 28560 47
96715 28145 41
47739 49085 97
6139 16849 71
49860 88147 63
47739 60681 53
79503 38746 12
76390 42384 19
82006 40452 22
5598 90900 7
96686 56256 77
64728 83609 87
46896 69443 19
38248 80539 68
16686 61323 27
46896 35756 4
9865 39033 40
73567 39767 22
63417 53806 93
15418 52330 42
86999 21099 12
68588 46975 75
43742 53434 20
94317 1879 33
408 87084 20
35126 12722 37
21099 14284 97
56144 10890 86
34102 4269 77
81633 3879 41
33572 96344 64
19513 42071 75
2377 37588 92
93460 11093 43
80398 59407 43
82700 91526 43
45807 88631 82
19080 96010 76
77841 47251 67
21873 96737 46
80999 66414 51
39767 41744 82
10942 49309 10
47957 95167 14
57741 38269 24
92563 38611 40
59309 47425 54
45807 83386 42
11208 39935 65
47333 5737 32
6424 39398 19
69450 35725 60
1591 92556 96
36407 51774 5
42940 36235 99
88147 39815 99
90900 90839 84
40388 94927 1
42584 77028 51
8147 91475 82
51774 83403 72
23347 28263 65
14534 47685 38
93460 78205 21
11093 9650 41
88631 25410 60
23818 75337 78
67727 21836 15
43742 90963 10
67563 2526 38
50178 84283 72
85628 95882 61
46176 24974 69
14864 36242 52
70464 9140 75
72952 11275 45
69450 20174 58
79223 33302 22
32433 89050 66
73671 60171 1
41093 13684 45
85413 82482 20
43639 15559 83
36235 59885 51
58690 32909 56
46457 41099 52
82308 27605 25
96686 67488 35
92563 27202 73
60753 96812 15
73662 45521 71
77695 28042 96
64973 29464 19
4093 58826 28
46975 24497 10
92760 23335 45
32351 59844 92
55423 41789 80
83486 74438 50
13020 73905 18
54258 41537 71
72308 95340 33
25728 54912 85
73552 49969 91
91546 43913 4
42927 35553 55
88051 44911 16
41744 23158 7
16696 13149 18
8691 36121 22
73662 46847 65
74323 61596 84
92452 21590 82
78193 44733 35
20062 27458 46
23888 25199 89
36948 54073 25
53434 33325 62
32555 58958 39
40705 91960 17
58451 61802 56
38248 39895 20
9650 76564 24
87084 71470 57
21099 12261 63
86886 24294 23
6863 70796 95
83407 13094 88
48033 14889 21
16543 38775 60
28946 93737 77
43659 5905 85
11204 92543 20
94944 53685 13
99628 53554 49
34102 79191 55
6712 96375 3
53434 24054 79
16201 55624 4
36086 10792 22
37285 95798 16
74323 93142 98
9650 31722 50
3058 24223 39
27343 94725 62
67563 10903 92
32433 71034 97
99342 78404 43
95882 38463 74
60681 89499 29
83473 68495 88
15559 240 82
96812 96177 9
7404 61318 20
14534 43283 99
78404 75430 31
2481 2575 37
18795 13046 29
25683 25828 16
84950 4097 11
99918 54488 68
93409 21322 66
32433 11664 78
5684 87601 83
64758 70804 67
41099 21903 76
82791 69271 93
4269 6502 95
80398 13243 22
81328 96343 14
33995 44960 59
39935 53450 90
77700 39136 75
83386 37277 84
9167 46946 36
63875 51428 70
95342 53751 96
28560 39607 18
60763 87926 47
76239 24588 27
48033 27638 10
88706 44521 70
78592 14876 63
83723 52933 56
16849 98653 82
52933 65921 8
53685 13651 16
13666 83170 38
80999 77042 67
76397 20893 83
49969 94950 18
77841 73105 57
68321 93488 90
28145 34278 89
28263 74576 26
48535 72509 52
53554 94438 21
76390 29837 41
94950 77490 89
57741 38302 19
96343 99163 16
21590 25378 13
43659 83506 26
4222 44416 72
20643 22098 74
77165 15499 46
90926 49686 57
9650 5832 56
89019 6979 79
29834 52405 86
65921 20827 63
27638 19465 95
27458 76454 62
38248 79122 17
95340 6228 83
11695 57181 71
54258 63910 64
33995 41484 81
93409 48393 84
25410 41474 33
77780 48199 10
98923 24005 100
36121 7618 83
48535 85580 16
98879 22352 2
60920 27181 69
40170 58432 43
34571 60173 46
69657 11550 98
15547 4467 6
64794 85761 49
46282 47521 81
2898 3465 59
87240 49172 54
74084 93238 17
47333 10623 3
33302 16159 16
25410 79219 95
91881 84795 60
43719 51999 11
13684 94974 68
82482 96542 77
84602 67048 42
47854 85276 65
20498 32153 36
13666 81019 22
6712 98559 98
3058 49647 1
1591 97925 67
32198 10015 53
70804 80416 43
26759 61181 12
26958 26371 8
2100 99180 8
91563 65193 21
49647 86664 32
78630 41225 49
6283 7047 49
96458 26627 81
15693 33604 33
2280 8508 87
78931 78626 5
55688 44476 61
39351 70828 95
80519 17454 62
13666 94319 14
57181 87921 2
7193 81819 14
32555 97159 83
39351 56713 32
40388 6508 90
50523 77886 94
31690 69674 70
6228 82113 81
4097 20529 59
45078 63812 18
65462 95647 71
68588 54676 84
7782 52233 82
85053 13092 10
46946 67734 24
31576 39584 51
31722 72648 99
96293 60558 90
33302 97873 36
1728 90242 88
4325 9676 83
69443 29754 15
60558 5011 27
